iter	Passed	Remaining
0	106	85065
1	216	86359
2	324	86187
3	436	86895
4	548	87233
5	657	87048
6	769	87177
7	883	87496
8	997	87699
9	1102	87126
10	1209	86772
11	1318	86584
12	1415	85709
13	1513	84947
14	1619	84756
15	1724	84502
16	1830	84324
17	1939	84248
18	2045	84067
19	2151	83892
20	2259	83802
21	2367	83708
22	2470	83476
23	2572	83161
24	2680	83087
25	2797	83266
26	2912	83380
27	3020	83267
28	3123	83033
29	3233	83002
30	3350	83111
31	3457	82981
32	3566	82896
33	3674	82773
34	3782	82665
35	3886	82488
36	4004	82582
37	4111	82449
38	4222	82383
39	4323	82137
40	4431	82042
41	4544	82020
42	4660	82052
43	4768	81935
44	4882	81922
45	5004	82025
46	5113	81931
47	5219	81767
48	5330	81700
49	5438	81584
50	5537	81330
51	5646	81229
52	5750	81051
53	5861	80976
54	5971	80892
55	6076	80726
56	6182	80595
57	6293	80509
58	6389	80252
59	6493	80088
60	6599	79952
61	6700	79756
62	6809	79659
63	6914	79515
64	7023	79421
65	7143	79442
66	7254	79369
67	7365	79284
68	7470	79144
69	7579	79044
70	7688	78938
71	7798	78853
72	7908	78755
73	8018	78671
74	8122	78518
75	8228	78384
76	8324	78166
77	8435	78082
78	8541	77953
79	8643	77791
80	8749	77663
81	8859	77574
82	8963	77435
83	9075	77357
84	9180	77220
85	9285	77091
86	9403	77065
87	9514	76979
88	9626	76900
89	9732	76777
90	9842	76682
91	9953	76598
92	10060	76479
93	10164	76339
94	10259	76134
95	10368	76036
96	10476	75930
97	10583	75814
98	10687	75676
99	10797	75582
100	10907	75485
101	11013	75365
102	11125	75286
103	11226	75131
104	11338	75049
105	11447	74949
106	11565	74907
107	11677	74824
108	11789	74741
109	11899	74643
110	12007	74531
111	12115	74421
112	12231	74365
113	12337	74243
114	12447	74144
115	12557	74043
116	12666	73943
117	12773	73824
118	12875	73682
119	12986	73590
120	13092	73468
121	13200	73362
122	13311	73267
123	13420	73162
124	13528	73055
125	13629	72906
126	13732	72773
127	13862	72777
128	13972	72676
129	14082	72580
130	14196	72501
131	14298	72358
132	14405	72245
133	14513	72135
134	14622	72028
135	14721	71876
136	14819	71718
137	14929	71618
138	15040	71524
139	15142	71385
140	15249	71273
141	15353	71144
142	15463	71047
143	15575	70952
144	15678	70823
145	15788	70723
146	15897	70618
147	16008	70522
148	16117	70419
149	16230	70330
150	16337	70219
151	16445	70111
152	16560	70028
153	16667	69916
154	16775	69806
155	16880	69687
156	16993	69596
157	17100	69482
158	17211	69386
159	17310	69241
160	17418	69131
161	17527	69029
162	17635	68920
163	17747	68826
164	17857	68722
165	17967	68621
166	18076	68519
167	18183	68404
168	18312	68372
169	18419	68260
170	18530	68163
171	18641	68063
172	18751	67962
173	18863	67864
174	18974	67765
175	19082	67654
176	19193	67555
177	19309	67474
178	19419	67372
179	19528	67265
180	19638	67160
181	19750	67064
182	19860	66959
183	19971	66860
184	20082	66760
185	20185	66632
186	20290	66512
187	20402	66416
188	20520	66338
189	20633	66245
190	20741	66133
191	20849	66022
192	20959	65918
193	21069	65816
194	21179	65709
195	21290	65610
196	21396	65493
197	21501	65374
198	21613	65274
199	21720	65161
200	21826	65044
201	21934	64934
202	22043	64828
203	22136	64673
204	22236	64539
205	22349	64443
206	22458	64337
207	22568	64233
208	22686	64151
209	22801	64062
210	22913	63961
211	23024	63859
212	23140	63770
213	23248	63662
214	23366	63579
215	23531	63622
216	23670	63592
217	23780	63488
218	23891	63383
219	23999	63270
220	24107	63160
221	24210	63033
222	24321	62929
223	24432	62826
224	24533	62695
225	24641	62584
226	24745	62463
227	24852	62349
228	24979	62285
229	25083	62163
230	25198	62069
231	25309	61964
232	25421	61861
233	25529	61751
234	25641	61648
235	25752	61543
236	25862	61437
237	25970	61326
238	26084	61228
239	26187	61104
240	26291	60983
241	26400	60872
242	26535	60824
243	26647	60720
244	26756	60611
245	26865	60502
246	26972	60387
247	27091	60299
248	27207	60207
249	27319	60103
250	27428	59991
251	27537	59883
252	27646	59773
253	27754	59662
254	27870	59565
255	27976	59450
256	28090	59350
257	28200	59242
258	28307	59128
259	28405	58996
260	28520	58899
261	28637	58805
262	28744	58691
263	28853	58582
264	28961	58468
265	29067	58354
266	29174	58239
267	29284	58131
268	29406	58047
269	29522	57951
270	29635	57849
271	29743	57738
272	29845	57613
273	29955	57504
274	30068	57404
275	30177	57293
276	30287	57184
277	30401	57084
278	30509	56972
279	30620	56865
280	30728	56753
281	30837	56644
282	30946	56533
283	31054	56422
284	31168	56321
285	31278	56213
286	31390	56109
287	31489	55981
288	31609	55891
289	31723	55788
290	31830	55676
291	31934	55558
292	32045	55451
293	32150	55334
294	32262	55229
295	32368	55113
296	32477	55003
297	32592	54903
298	32703	54797
299	32814	54690
300	32924	54583
301	33033	54472
302	33145	54368
303	33255	54259
304	33365	54149
305	33471	54036
306	33585	53933
307	33696	53826
308	33808	53722
309	33919	53615
310	34029	53506
311	34137	53393
312	34239	53274
313	34348	53164
314	34457	53052
315	34565	52941
316	34693	52860
317	34802	52750
318	34913	52644
319	35021	52531
320	35130	52421
321	35243	52317
322	35357	52214
323	35463	52100
324	35568	51985
325	35684	51884
326	35791	51772
327	35902	51664
328	36037	51592
329	36152	51489
330	36264	51384
331	36372	51272
332	36483	51164
333	36589	51050
334	36701	50944
335	36813	50837
336	36910	50711
337	37017	50598
338	37126	50487
339	37236	50378
340	37343	50266
341	37450	50153
342	37556	50039
343	37667	49931
344	37776	49820
345	37885	49710
346	37998	49606
347	38109	49498
348	38223	49394
349	38335	49288
350	38443	49177
351	38552	49066
352	38662	48957
353	38773	48850
354	38882	48739
355	38989	48627
356	39098	48517
357	39207	48406
358	39317	48298
359	39426	48187
360	39542	48086
361	39650	47975
362	39759	47864
363	39863	47748
364	39972	47638
365	40087	47535
366	40193	47421
367	40294	47302
368	40406	47195
369	40530	47103
370	40641	46994
371	40752	46887
372	40857	46772
373	40968	46664
374	41074	46551
375	41175	46431
376	41285	46322
377	41394	46213
378	41499	46098
379	41604	45983
380	41709	45869
381	41819	45760
382	41928	45650
383	42036	45539
384	42148	45433
385	42263	45329
386	42372	45218
387	42478	45105
388	42585	44993
389	42709	44899
